City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,Namsos,64.4662,11.4957,6.03,93,100,0.0,NO,2023-04-22 03:31:35
176,Mwatate,-3.5029,38.3795,20.91,92,100,2.82,KE,2023-04-22 03:31:35
177,Tazacorte,28.629,-17.9293,18.54,85,0,2.06,ES,2023-04-22 03:31:36
178,Lihue,21.9789,-159.3672,26.58,80,0,3.09,US,2023-04-22 03:31:37
179,Vanadzor,40.8046,44.4939,8.81,60,29,1.79,AM,2023-04-22 03:31:37
180,Mandalgovi,45.7625,106.2708,4.22,21,12,6.19,MN,2023-04-22 03:31:38
181,Guadalupe Y Calvo,26.1,-106.9667,10.03,33,19,1.98,MX,2023-04-22 03:31:39
182,Alofi,-19.0595,-169.9187,26.94,61,2,4.12,NU,2023-04-22 03:31:39
183,Tobruk,32.0836,23.9764,18.4,53,96,5.02,LY,2023-04-22 03:31:40
184,Sarmiento,-45.5882,-69.07,9.23,64,3,0.83,AR,2023-04-22 03:31:40
185,Saint-Philippe,-21.3585,55.7679,24.77,76,26,3.11,RE,2023-04-22 03:31:41
186,Borkum,53.5809,6.6915,10.97,93,55,6.88,DE,2023-04-22 03:31:42
187,Bredy,52.4153,60.3411,10.67,50,100,7.55,RU,2023-04-22 03:31:43
188,Obo,5.3998,26.4869,22.37,82,100,2.7,CF,2023-04-22 03:31:43
189,Carauari,-4.8828,-66.8958,23.03,99,100,1.27,BR,2023-04-22 03:31:44
190,Cozumel,20.5083,-86.9458,23.86,89,13,4.24,MX,2023-04-22 03:31:44
191,Manadhoo,5.7667,73.3833,29.13,67,18,2.34,MV,2023-04-22 03:31:46
192,Bernay,49.1667,0.6667,6.9,82,99,2.95,FR,2023-04-22 03:31:46
193,Ust-Nera,64.5667,143.2,-0.62,83,87,1.8,RU,2023-04-22 03:26:57
194,Alice Springs,-23.7,133.8833,24.75,29,0,7.72,AU,2023-04-22 03:31:48
195,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,0.63,94,100,8.48,RU,2023-04-22 03:31:48
196,Hobyo,5.3505,48.5268,29.27,73,99,6.05,SO,2023-04-22 03:31:49
197,Charters Towers,-20.1,146.2667,29.57,35,79,6.85,AU,2023-04-22 03:31:50
198,Udachny,66.4167,112.4,-4.23,78,100,4.93,RU,2023-04-22 03:31:51
199,Lompoc,34.6391,-120.4579,23.08,80,0,5.66,US,2023-04-22 03:31:52
200,Dubbo,-32.25,148.6167,22.07,46,40,6.69,AU,2023-04-22 03:28:25
201,Bol'Sherech'Ye,56.0925,74.6272,6.52,51,96,6.54,RU,2023-04-22 03:31:54
202,Les Anglais,18.3054,-74.2197,23.79,81,6,1.62,HT,2023-04-22 03:31:54
